"","refmet_name","super_class","main_class","sub_class","formula","exactmass","inchi_key","pubchem_cid","standard","pubchem_sid","KEGGID","chebiid"
"519","Isocitric acid","Organic acids","TCA acids","TCA acids","C6H8O7","192.0270","ODBLHEXUDAPZAU-ZAFYKAAXSA-N","5318532",NA,3739,"C00451","151"
"344","Lactic acid","Organic acids","Short-chain acids","Short-chain acids","C3H6O3","90.0317","JVTAAEKCZFNVCJ-REOHCLBHSA-N","107689",NA,3486,"C00186","422"
"9","2-Hydroxybutyric acid","Fatty Acyls","Fatty acids","Hydroxy FA","C4H8O3","104.0473","AFENDNXGAFYKQO-UHFFFAOYSA-N","11266",NA,72463,NA,"1148"
"137","3-Methoxytyramine","Benzenoids","Phenols","Methoxyphenols","C9H13NO2","167.0946","DIVQKHQLANKJQO-UHFFFAOYSA-N","1669",NA,7912,"C05587","1582"
"928","Methylimidazoleacetic acid","Organoheterocyclic compounds","Imidazoles","Imidazolyl carboxylic acids","C6H8N2O2","140.0586","ZHCKPJGJQOPTLB-UHFFFAOYSA-N","75810",NA,8122,"C05828","1606"
"883","Tyrosol","Benzenoids","Phenols","Tyrosols","C8H10O2","138.06808","YCCILVSKPBXVIP-UHFFFAOYSA-N","10393",NA,8315,"C06044","1879"
"192","4-Hydroxystyrene","Benzenoids","Benzenes","Styrenes","C8H8O","120.0575","FUGYGGDSWSUORM-UHFFFAOYSA-N","62453",NA,7942,"C05627","1883"
"513","5beta-Dihydrotestosterone","Sterol Lipids","Steroids","C19 steroids","C19H30O2","290.2246","NVKAWKQGWWIWPM-MISPCMORSA-N","11302",NA,7677,"C05293","2150"
"676","Adrenosterone","Sterol Lipids","Steroids","C19 steroids","C19H24O3","300.172545","RZRPTBIGEANTGU-IRIMSJTPSA-N","223997",NA,7672,"C05285","2495"
"832","Amsacrine","Organoheterocyclic compounds","Benzoquinolines","Acridines","C21H19N3O3S","393.114712","XCPGHVQEEXUHNC-UHFFFAOYSA-N","2179",NA,4711,"C01553","2687"
"424","Arachidonoyl-EA","Fatty Acyls","Fatty amides","N-acyl ethanolamines","C22H37NO2","347.2824","LGEQQWMQCRIYKG-DOFZRALJSA-N","5281969",NA,13860,"C11695","2700"
"145","Arecaidine","Organoheterocyclic compounds","Hydropyridines","Tetrahydropyridines","C7H11NO2","141.078979","DNJFTXKSFAMXQF-UHFFFAOYSA-N","10355",NA,12314,"C10128","2813"
